State,Date,Rural Cases,Urban Cases
UP,Jan 1,404858,181044
UP,Jan 15,411569,184045
UP,Jan 29,414487,185350
UP,Feb 12,423809,178192
UP,Feb 26,424758,178592
UP,Mar 12,356320,248638
UP,Mar 26,360056,251245
UP,Apr 9,464130,199861
UP,Apr 23,708346,305024
UP,May 7,1139684,313995
UP,May 21,1300822,358390
UP,Jun 4,1329919,366406
Rajasthan,Jan 1,213921,94322
Rajasthan,Jan 15,218389,96293
Rajasthan,Jan 29,220201,97091
Rajasthan,Feb 12,203974,114736
Rajasthan,Feb 26,204850,115228
Rajasthan,Mar 12,233181,89337
Rajasthan,Mar 26,237681,91062
Rajasthan,Apr 9,261464,92823
Rajasthan,Apr 23,356655,126618
Rajasthan,May 7,535554,185245
Rajasthan,May 21,671240,232178
Rajasthan,Jun 4,701764,242736
Maharashtra,Jan 1,786370,1145742
Maharashtra,Jan 15,807801,1176967
Maharashtra,Jan 29,822622,1198562
Maharashtra,Feb 12,1005665,1050910
Maharashtra,Feb 26,1045557,1092597
Maharashtra,Mar 12,1058937,1223254
Maharashtra,Mar 26,1223909,1413826
Maharashtra,Apr 9,1627827,1660713
Maharashtra,Apr 23,2060030,2101646
Maharashtra,May 7,3292864,1703894
Maharashtra,May 21,3642354,1884738
Maharashtra,Jun 4,3825867,1979698
MP,Jan 1,113642,128149
MP,Jan 15,117903,132955
MP,Jan 29,119693,134974
MP,Feb 12,95689,161540
MP,Feb 26,97097,163916
MP,Mar 12,102596,164580
MP,Mar 26,109158,175107
MP,Apr 9,183570,143650
MP,Apr 23,265232,207553
MP,May 7,362855,286259
MP,May 21,423230,333889
MP,Jun 4,438112,345631
Karnataka,Jan 1,420210,499286
Karnataka,Jan 15,425315,505353
Karnataka,Jan 29,428849,509552
Karnataka,Feb 12,393830,550607
Karnataka,Feb 26,396236,553971
Karnataka,Mar 12,333529,624888
Karnataka,Mar 26,341403,639641
Karnataka,Apr 9,391984,656101
Karnataka,Apr 23,476835,798124
Karnataka,May 7,1007709,831176
Karnataka,May 21,1297523,1070219
Karnataka,Jun 4,1462894,1206620
Gujarat,Jan 1,118108,126930
Gujarat,Jan 15,122837,132012
Gujarat,Jan 29,125754,135147
Gujarat,Feb 12,131830,132888
Gujarat,Feb 26,133977,135054
Gujarat,Mar 12,95711,180911
Gujarat,Mar 26,102527,193793
Gujarat,Apr 9,129751,207264
Gujarat,Apr 23,180041,287599
Gujarat,May 7,346785,311251
Gujarat,May 21,411308,369163
Gujarat,Jun 4,429184,385206
WB,Jan 1,230210,321853
WB,Jan 15,235229,328869
WB,Jan 29,237464,331995
WB,Feb 12,205427,366793
WB,Feb 26,206323,368393
WB,Mar 12,188937,388851
WB,Mar 26,190650,392377
WB,Apr 9,295344,311111
WB,Apr 23,347611,366169
WB,May 7,501952,452330
WB,May 21,646877,582928
WB,Jun 4,742422,669026
Kerala,Jan 1,371335,389598
Kerala,Jan 15,408399,428484
Kerala,Jan 29,447803,469827
Kerala,Feb 12,484103,509949
Kerala,Feb 26,512498,539859
Kerala,Mar 12,485000,602443
Kerala,Mar 26,496720,617002
Kerala,Apr 9,477760,676250
Kerala,Apr 23,559107,791394
Kerala,May 7,793812,1031044
Kerala,May 21,997730,1295902
Kerala,Jun 4,1131471,1469611
Tamil Nadu,Jan 1,298575,519439
Tamil Nadu,Jan 15,302794,526779
Tamil Nadu,Jan 29,305624,531703
Tamil Nadu,Feb 12,305591,538582
Tamil Nadu,Feb 26,307909,542668
Tamil Nadu,Mar 12,304687,553585
Tamil Nadu,Mar 26,310692,564498
Tamil Nadu,Apr 9,375697,545130
Tamil Nadu,Apr 23,429007,622480
Tamil Nadu,May 7,553417,770548
Tamil Nadu,May 21,740273,1030715
Tamil Nadu,Jun 4,917678,1277724